Fecha,Proveedor,RFC,Descripción,Cantidad,P. Unitario,Descuento,Impuestos,Total,Categoría,Grupo P&L,Origen,Link de Factura,UUID,Procesado_En
"1 enero, 2026",SUPER 7,XEXX010101000,CERVEZA,1,$239.00,$0.00,$0.00,-$239.00,Personal,Gastos Personales,Google Forms,,,
"2 enero, 2026",YUKUNSA,YUK160308FK5,ENVASE SOUFFLE 2 OZ TRANSPARENTE,1,$187.72,$0.00,$30.04,-$217.76,Desechables,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1QJbZEN79MqhINZVo-jfFyfM1WJUkbUx5/view?usp=drivesdk,F38CE805-9BB6-4C26-BB50-FE1E7C011E8C,
"2 enero, 2026",YUKUNSA,YUK160308FK5,BOLSA ROLLO AD 20X30 300 BLS,3,$24.69,$0.00,$11.85,-$85.92,Desechables,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1QJbZEN79MqhINZVo-jfFyfM1WJUkbUx5/view?usp=drivesdk,F38CE805-9BB6-4C26-BB50-FE1E7C011E8C,
"2 enero, 2026",YUKUNSA,YUK160308FK5,TAPA PLANA PARA ENVASE PEQUEÑAS PORCIONES PLASTICOS P/ 4OZ,2,$46.83,$0.00,$14.99,-$108.66,Desechables,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1QJbZEN79MqhINZVo-jfFyfM1WJUkbUx5/view?usp=drivesdk,F38CE805-9BB6-4C26-BB50-FE1E7C011E8C,
"2 enero, 2026",YUKUNSA,YUK160308FK5,BOLSA  P/ BASURA USO RUDO NEGRA 90X120 BD,2,$32.00,$0.00,$10.24,-$74.24,Desechables,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1QJbZEN79MqhINZVo-jfFyfM1WJUkbUx5/view?usp=drivesdk,F38CE805-9BB6-4C26-BB50-FE1E7C011E8C,
"2 enero, 2026",YUKUNSA,YUK160308FK5,TAPA PLANA PARA ENVASE PEQUEÑAS PORCIONES PLASTICOS P/ 2OZ,10,$23.21,$0.00,$37.14,-$269.27,Desechables,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1QJbZEN79MqhINZVo-jfFyfM1WJUkbUx5/view?usp=drivesdk,F38CE805-9BB6-4C26-BB50-FE1E7C011E8C,
"2 enero, 2026",YUKUNSA,YUK160308FK5,CONTENEDOR ONEBOX BLANCO  PARA CALIENTE Y FRIO DE 48 OZ,140,$6.22,$0.00,$139.22,"-$1,009.35",Desechables,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1OgvhOUx6kNBFRTUykNuAyCr6Kayn37fh/view?usp=drivesdk,41F38401-602D-4FBF-881A-CA2B32B28116,
"2 enero, 2026",GERMINADO,XEXX010101000,GERMINADO DE SOYA,5,$55.00,$0.00,$0.00,-$275.00,Insumos Alimentos,Costo de Venta,Google Forms,,,
"2 enero, 2026",FERNANDO CLAUS BAUERLE VARGAS,BAVF6610252DA,TALLARIN ARROZ 5MM AROY D 454G,15,$53.00,$0.00,$0.00,-$795.00,Insumos Alimentos,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1T3GFryhevAaJP43ZwUIZSmA2i3APprDk/view?usp=drivesdk,661DE36D-A9AC-4F70-BC06-6C7C26E0B1A8,
"2 enero, 2026",JAPAY,XEXX010101000,AGUA Y ALCANTARILLADO ,1,"$1,020.00",$0.00,$0.00,"-$1,020.00",Servicios,Gastos Operativos,Google Forms,,,
