Fecha,Fuente / Cliente,Categoría,Monto Bruto (+),Comisión / Retención (-),Monto Neto (Cálculo),Cuenta Destino,Notas / UUID
"1 enero, 2026",BBVA,Term Bancaria,"$7,050.60",$213.34,"$6,837.26",BBVA,3.03%
"2 enero, 2026",RAPPI,Plataforma,"$8,513.00","$7,310.47","$1,202.53",BBVA,85.87%
"2 enero, 2026",PAYPAL,PayPal,$685.00,$39.99,$645.01,BBVA,5.84%
"2 enero, 2026",BBVA,Term Bancaria,"$4,382.70",$108.77,"$4,273.93",BBVA,2.48%
"3 enero, 2026",BBVA,Term Bancaria,"$8,226.79",$241.62,"$7,985.17",BBVA,2.94%
"4 enero, 2026",BBVA,Term Bancaria,"$6,448.15",$180.12,"$6,268.03",BBVA,2.79%
"5 enero, 2026",CAJA,Efectivo,"$9,500.00",$0.00,"$9,500.00",BBVA,0.00%
"5 enero, 2026",PAYPAL,PayPal,$488.00,$26.99,$461.01,BBVA,5.53%
"5 enero, 2026",CLIP,Clip,$254.00,$9.72,$244.28,BBVA,3.83%
"5 enero, 2026",BBVA,Term Bancaria,"$5,564.80",$165.60,"$5,399.20",BBVA,2.98%
"6 enero, 2026",UBBER,Plataforma,"$16,443.00","$10,129.37","$6,313.63",BBVA,61.60%
"6 enero, 2026",BBVA,Term Bancaria,"$2,550.15",$61.73,"$2,488.42",BBVA,2.42%
"7 enero, 2026",PAYPAL,PayPal,$199.00,$13.75,$185.25,BBVA,6.91%
"7 enero, 2026",BBVA,Term Bancaria,"$8,250.04",$223.17,"$8,026.87",BBVA,2.71%
"8 enero, 2026",BBVA,Term Bancaria,"$10,633.10",$331.99,"$10,301.11",BBVA,3.12%
"9 enero, 2026",RAPPI,Plataforma,"$2,519.90",$953.88,"$1,566.02",BBVA,37.85%
"9 enero, 2026",RAPPI,Plataforma,"$5,246.00","$5,165.79",$80.21,BBVA,98.47%
"9 enero, 2026",BBVA,Term Bancaria,"$3,442.50",$137.90,"$3,304.60",BBVA,4.01%
"10 enero, 2026",BBVA,Term Bancaria,"$7,475.00",$174.74,"$7,300.26",BBVA,2.34%
"11 enero, 2026",BBVA,Term Bancaria,"$11,025.60",$301.55,"$10,724.05",BBVA,2.73%
"11 enero, 2026",PAYPAL,PayPal,$522.00,$31.58,$490.42,BBVA,6.05%
"11 enero, 2026",BBVA,Transferencia,$816.00,$0.00,$816.00,BBVA,0.00%
"12 enero, 2026",UBBER,Plataforma,"$30,742.00","$15,242.28","$15,499.72",BBVA,49.58%
"12 enero, 2026",BBVA,Transferencia,$447.00,$0.00,$447.00,BBVA,0.00%
"12 enero, 2026",BBVA,Term Bancaria,"$8,000.92",$224.88,"$7,776.04",BBVA,2.81%
"13 enero, 2026",BBVA,Term Bancaria,"$9,615.40",$319.30,"$9,296.10",BBVA,3.32%
"14 enero, 2026",BBVA,Term Bancaria,"$4,048.80",$96.15,"$3,952.65",BBVA,2.37%
"14 enero, 2026",PAYPAL,PayPal,$522.00,$31.58,$490.42,BBVA,6.05%
"15 enero, 2026",BBVA,Term Bancaria,"$6,864.05",$180.13,"$6,683.92",BBVA,2.62%
"16 enero, 2026",BBVA,Term Bancaria,"$12,145.00",$313.83,"$11,831.17",BBVA,2.58%
"16 enero, 2026",CAJA,Efectivo,"$4,800.00",$0.00,"$4,800.00",BBVA,0.00%
"16 enero, 2026",RAPPI,Plataforma,"$9,938.00","$8,794.65","$1,143.35",BBVA,88.50%
"17 enero, 2026",BBVA,Term Bancaria,"$7,077.35",$160.81,"$6,916.54",BBVA,2.27%
"18 enero, 2026",BBVA,Term Bancaria,"$10,238.00",$232.84,"$10,005.16",BBVA,2.27%
"19 enero, 2026",PAYPAL,PayPal,$637.00,$33.81,$603.19,BBVA,5.31%
